詞彙,出現次數
難道,5
超過,5
每日,5
結構,5
無論,5
班上,5
不斷,5
出來,5
想學,5
改掉,5
顧及,5
練習,5
不行,5
離學校,5
資料,5
最長,5
世代,5
跟上,5
測驗,5
很累,5
兩節,5
私校,5
數學,5
路上,5
壓迫,5
效仿,5
理念,5
證照,5
現代,5
得以,5
早就,5
身邊,5
感受,5
挑戰,5
花費,5
冗長,5
看似,5
趨勢,5
具有,5
不穩,5
更佳,5
一步,5
一代,5
不佳,5
更具,5
過大,5
太大,5
近年,5
消耗,5
雖說,5
擔心,5
國防,5
本土,5
生成,4
發點,4
困難,4
現象,4
接觸,4
不錯,4
英數,4
體系,4
行為,4
有時,4
大量,4
配套措施,4
過於,4
假設,4
事實,4
心力,4
這才,4
模仿,4
美的,4
明明,4
自身,4
加入,4
高一,4
作為,4
點就,4
教權,4
權利,4
提到,4
經濟,4
空調,4
多多,4
排課,4
身心俱疲,4
依然,4
文字,4
閩南語,4
這類,4
去除,4
更應,4
社群,4
達成,4
來源,4
精進,4
教材,4
發生,4
quot,4
程度,4
特別,4
面向,4
所述,4
禮拜,4
短上,4
沒辦,4
權益,4
英文,4
土城,4
趕車,4
標準,4
打瞌睡,4
使得,4
負荷,4
沒錯,4
數的,4
點後才,4
究竟,4
會導致,4
附近,4
當過,4
太多,4
AI,4
銜接,4
不良,4
距離,4
公平,4
每次,4
到家,4
洗漱,4
更長,4
衍生,4
芬蘭,4
題目,4
固然,4
晚一點,4
放學後能,4
進行個,4
有什麼,4
控制,4
即可,4
上面,4
早點,4
總結,4
學得,4
草莓,4
不了,4
照顧,4
想到,4
哪些,4
還會,4
不得,4
兩個,4
適度,4
通過,4
爭取,4
下去,4
用到,4
責任,4
經常,4
本末倒置,4
明顯,4
學會,4
乖乖,4
這點,4
地區,4
授課,4
7.30,4
一群,4
保證,4
公立,4
哈哈,4
遇到,4
脫離,4
感興趣,4
選修課,4
方便,4
差異,4
唯一,4
專題,4
職涯,4
一部分,4
自修,4
一年,4
留下,4
關心,4
節的,4
減輕學生,4
申請,4
這樣子,4
限制,4
自學,4
這也,4
實習,4
實用性,4
帶來,4
學生長,4
父母,4
提倡,4
現在國,4
課到,4
生理需求,4
精簡,4
具備,4
無須,4
只為,4
充分,4
正面,4
充裕,4
時期,4
補眠,4
擅長,4
寶貴,4
這將,4
極大,4
過多,4
比如,4
預習,4
生活型,4
正確,4
沒興趣,4
雖然現,4
一半,4
效益,4
優先,4
公民,4
太長,4
轉變,4
之外,4
督導,4
打著,4
素養,4
期下,4
實踐,4
一切,4
折磨,4
科任,4
...,4
考差,4
況且,4
煩惱,4
最大,3
立場,3
實驗,3
證明,3
刻意,3
偏離,3
一位,3
人人,3
換成,3
教完,3
會考,3
加強,3
這會,3
十小時,3
實務,3
重要性,3
美式,3
藉口,3
學好,3
龐大,3
小考,3
砍掉,3
點的,3
同學們,3
很少,3
一學期,3
內部,3
去年,3
關注,3
總量,3
塞車,3
系統,3
依舊,3
實用,3
需長,3
期累積,3
完習,3
完功,3
缺少,3
留給,3
一昧,3
意味著,3
隨之,3
高二生,3
聲音,3
很長,3
這件,3
縮減,3
毫無,3
依靠,3
關於,3
過勞,3
自殘,3
最佳,3
校園,3
描述,3
剝奪導,3
當中,3
看重,3
包含,3
天天,3
改時間,3
幾年,3
考學測,3
例子,3
流程,3
上述,3
接受,3
去掉,3
留校,3
能達,3
初衷,3
想想,3
提前,3
不覺,3
利益,3
減少國,3
9.30,3
如下,3
否則,3
經夠,3
太累,3
若上,3
做事,3
大眾,3
偏鄉,3
正值,3
眼裡,3
角度,3
許會,3
尋找,3
心裡,3
點下,3
中心,3
根據兒,3
福聯盟,3
試辦,3
指標,3
師生,3
仍然,3
調到,3
明天,3
沒學到,3
面試,3
至上,3
概念,3
趕課,3
討厭,3
送到,3
灣的,3
將學生,3
數量,3
離家,3
大考,3
懂得,3
毫無意,3
只用,3
自私,3
心智,3
尚未,3
成熟,3
生長,3
加以,3
警告,3
主動,3
日常生活,3
家裡,3
事務,3
十二,3
凌晨,3
兩點,3
六個,3
讀書讀,3
表示,3
鴨式,3
不滿,3
考大學,3
一致,3
若學生,3
適性,3
數還,3
所有人,3
編排,3
玩手,3
怎樣,3
期待,3
過去,3
並不會,3
一堂,3
在乎,3
更慘,3
科系,3
行業,3
hellip,3
保持,3
觀察,3
年代,3
訴求,3
陷入,3
懷疑,3
反抗,3
有關,3
憂鬱症,3
動態,3
引發,3
但學生,3
早到,3
偏偏,3
補充,3
早睡早起,3
實作,3
選項,3
受損,3
傾向,3
合作,3
說明,3
歐洲,3
延到,3
輔導課,3
許多學校,3
正式,3
確定,3
留到,3
經歷,3
重新,3
導課,3
教授,3
好事,3
投票,3
弱勢,3
背景,3
城鄉,3
現場,3
計算,3
探究,3
取代,3
月底,3
老實,3
矛盾,3
主張,3
社會用,3
推行,3
全人,3
大減,3
記憶力,3
一項,3
放學後有,3
行程,3
人性化,3
常態,3
總結來,3
現行國,3
人際,3
互動,3
以學生,3
那個,3
作用,3
清醒,3
空出,3
期處,3
升旗,3
飽滿,3
不濟,3
更會,3
課能,3
家人,3
早早,3
壓得,3
老師會,3
此舉,3
不見,3
深度,3
五六,3
主義,3
看起,3
教不完,3
逼迫,3
追求,3
看待,3
在意,3
教育局,3
面前,3
古文,3
語言,3
進入,3
早已,3
形式化,3
6.30,3
很早,3
之一,3
自主性,3
被動,3
健全,3
相當,3
將時間,3
並移,3
給予,3
